,Population,Age,Children,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,timely_responses,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,evidence_of_active_listening,Churn,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Tenure
9069,-0.6747905978507384,-0.970071930586431,-0.9723379092716081,0.11045702757896148,0.1551753882869564,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,0,1,1,1,1,0,0,1,0,1,1,0,1.863326022595687,1.2488740563038512,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,3.4145249076023885,-2.4326480123980656,0.48638937610826977,-0.4954056262379492,0.4903839162092966,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.1906395488131079
2603,-0.6471436580372764,-0.003787833659951896,-0.04084592357288879,-0.3848688477647332,-0.6920631252149856,1.316699710044148,0.005867974104602262,0.9466579047036832,0,1,1,1,0,0,1,0,0,1,0,0,-0.29552017652756857,-1.3416768280987996,-1.436575972717586,-1.4547808719219755,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,-1.4677424785204796,0.4903839162092966,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-1.2487851229025315
7738,1.4577654588884137,0.14115478087901998,-0.5065919164222484,-0.7287803219886845,-0.08405176487567508,-1.9882694416730908,2.0293073205191656,-0.6258635316811727,0,1,0,1,1,0,0,0,1,0,0,1,-0.3529269217907562,0.4021413816351502,1.4543067198989672,0.4783542977305066,0.4990633655784165,0.4898783058016274,-1.45681744863776,1.453943336936338,0.47693122604458105,-1.4540408110282002,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.627313544155695
1579,0.4021235339307836,-0.4869298821231915,-0.9723379092716081,-1.0893784954586843,-1.2319643436841619,0.6557058797007002,0.005867974104602262,-0.6258635316811727,0,0,0,1,1,0,1,1,0,1,1,1,1.630901967685156,-1.153769575082729,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,-1.4487185455478664,-0.4954056262379492,-1.4540408110282002,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,-1.2391687486495897
5058,-0.6686930271650625,-1.211642954818051,-0.5065919164222484,-0.5437070462665649,-0.7867564295916175,0.3252089645289763,1.0175876473118841,-0.6258635316811727,0,1,1,1,0,0,0,0,0,1,1,0,0.8147138411795543,1.3890409735250804,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1.4044620848964056
5753,2.6020300305162642,1.7355235408077105,-0.5065919164222484,-0.46647813391885806,-0.68882676114021,0.3252089645289763,0.005867974104602262,-0.6258635316811727,1,0,0,1,0,0,1,1,0,0,0,1,-0.5857117279449975,0.7222940926064064,2.417934284104485,2.4114894673829887,0.4990633655784165,-1.45988609539888,1.4706742426431563,0.48638937610826977,0.47693122604458105,0.4903839162092966,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.9526771494188624
3548,-0.5630941893813127,-0.9217577257401072,0.8906460621258305,-0.7707860925011694,0.4360747193414967,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,0,0,0,1,0,0,0,1,0,1,0,0,-0.9935206204951417,-0.8670738649278887,0.49067915569344955,1.4449218825567476,0.4990633655784165,-0.48500389479862627,1.4706742426431563,0.48638937610826977,0.47693122604458105,-0.4818284474094517,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-1.0357635174556103
409,-0.38203791436232437,0.8658678535738794,0.4249000692764709,0.5685912171269882,-1.1953779508064328,0.986202794872424,-1.0058516991026796,-0.6258635316811727,0,0,1,1,1,1,0,1,0,1,1,1,1.921957542899898,-0.9022436869004397,1.4543067198989672,0.4783542977305066,1.4718964368813727,0.4898783058016274,0.4948436788828508,0.48638937610826977,0.47693122604458105,0.4903839162092966,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,-0.9770664239968856
4097,-0.5686374354591999,0.8175536487275554,0.8906460621258305,0.02965168470682726,1.5035506476372986,-1.657772526501367,0.005867974104602262,2.519179341088539,0,1,0,1,0,0,0,0,0,1,0,0,-0.8193954430145611,-0.7469900391850521,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,-0.4954056262379492,1.462596279828045,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-0.608301413577748
6461,0.8322101389988512,1.349009902037119,0.4249000692764709,-0.5332096818685905,-0.6937832942211921,-0.6662817809861953,0.005867974104602262,0.9466579047036832,0,0,1,1,0,0,0,0,1,1,1,0,0.6402672921178489,1.1711167609191795,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,0.4948436788828508,-0.48116458471979834,-1.4677424785204796,-0.4818284474094517,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1.0436057327764445
